date,growth
2016-06-15,137
2016-06-16,208
2016-06-17,152
2016-06-18,184
2016-06-19,120
2016-06-20,154
2016-06-21,166
2016-06-22,149
2016-06-23,114
2016-06-24,139
2016-06-25,113
2016-06-26,86
2016-06-27,87
2016-06-28,92
2016-06-29,82
2016-06-30,102
2016-07-01,102
2016-07-02,102
2016-07-03,102
2016-07-04,102
2016-07-05,102
2016-07-06,103
2016-07-07,30
2016-07-08,68
2016-07-09,91
2016-07-10,104
2016-07-11,86
2016-07-12,60
2016-07-13,78
2016-07-14,77
2016-07-15,55
2016-07-16,69
2016-07-17,66
2016-07-18,61
2016-07-19,69
2016-07-20,63
2016-07-21,48
2016-07-22,32
2016-07-23,51
2016-07-24,41
2016-07-25,77
2016-07-26,74
2016-07-27,58
2016-07-28,78
2016-07-29,63
2016-07-30,51
2016-07-31,93
2016-08-01,83
2016-08-02,304
2016-08-03,512
2016-08-04,158
2016-08-05,170
2016-08-06,121
2016-08-07,108
2016-08-08,68
2016-08-09,98
2016-08-10,96
2016-08-11,48
2016-08-12,57
2016-08-13,73
2016-08-14,67
2016-08-15,75
2016-08-16,70
2016-08-17,71
2016-08-18,35
2016-08-19,55
2016-08-20,50
2016-08-21,54
2016-08-22,56
2016-08-23,62
2016-08-24,66
2016-08-25,74
2016-08-26,76
2016-08-27,75
2016-08-28,59
2016-08-29,68
2016-08-30,71
2016-08-31,154
2016-09-01,39
2016-09-02,59
2016-09-03,38
2016-09-04,75
2016-09-05,68
2016-09-06,78
2016-09-07,73
2016-09-08,157
2016-09-09,125
2016-09-10,73
2016-09-11,92
2016-09-12,144
2016-09-13,73
2016-09-14,103
2016-09-15,77
2016-09-16,71
2016-09-17,86
2016-09-18,100
2016-09-19,67
2016-09-20,100
2016-09-21,92
2016-09-22,76
2016-09-23,66
2016-09-24,63
2016-09-25,69
2016-09-26,76
2016-09-27,78
2016-09-28,72
2016-09-29,72
2016-09-30,89
2016-10-01,58
2016-10-02,76
2016-10-03,93
2016-10-04,70
2016-10-05,69
2016-10-06,63
2016-10-07,88
2016-10-08,68
2016-10-09,58
2016-10-10,78
2016-10-11,121
2016-10-12,94
2016-10-13,56
2016-10-14,66
2016-10-15,58
2016-10-16,77
2016-10-17,70
2016-10-18,70
2016-10-19,70
2016-10-20,70
2016-10-21,70
2016-10-22,70
2016-10-23,70
2016-10-24,70
2016-10-25,87
2016-10-26,87
2016-10-27,87
2016-10-28,87
2016-10-29,87
2016-10-30,87
2016-10-31,87
2016-11-01,87
2016-11-02,87
2016-11-03,87
2016-11-04,87
2016-11-05,87
2016-11-06,87
2016-11-07,94
2016-11-08,91
2016-11-09,91
2016-11-10,92
2016-11-11,53
2016-11-12,57
2016-11-13,118
2016-11-14,59
2016-11-15,59
2016-11-16,107
2016-11-17,75
2016-11-18,111
2016-11-19,91
2016-11-20,91
2016-11-21,121
2016-11-22,121
2016-11-23,62
2016-11-24,62
2016-11-25,66
2016-11-26,66
2016-11-27,67
2016-11-28,78
2016-11-29,78
2016-11-30,120
2016-12-01,81
2016-12-02,81
2016-12-03,81
2016-12-04,84
2016-12-05,78
2016-12-06,132
2016-12-07,132
2016-12-08,132
2016-12-09,132
2016-12-10,132
2016-12-11,132
2016-12-12,132
2016-12-13,132
2016-12-14,132
2016-12-15,132
2016-12-16,132
2016-12-17,132
2016-12-18,132
2016-12-19,132
2016-12-20,132
2016-12-21,132
2016-12-22,132
2016-12-23,132
2016-12-24,132
2016-12-25,132
2016-12-26,132
2016-12-27,132
2016-12-28,132
2016-12-29,132
2016-12-30,150
2016-12-31,113
2017-01-01,274
2017-01-02,663
2017-01-03,261
2017-01-04,398
2017-01-05,523
2017-01-06,535
2017-01-07,283
2017-01-08,232
2017-01-09,183
2017-01-10,189
2017-01-11,308
2017-01-12,269
2017-01-13,133
2017-01-14,157
2017-01-15,163
2017-01-16,197
2017-01-17,190
2017-01-18,144
2017-01-19,108
2017-01-20,111
